,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptoms_5
53,Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases,acidity
54,Peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases,acidity
55,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, passage_of_gases,acidity
56,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain,acidity
57,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain,acidity
58,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain,acidity
59,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain,acidity
60,AIDS, muscle_wasting, fatigue, high_fever, extra_marital_contacts,weight_loss
61,AIDS, fatigue, high_fever, extra_marital_contacts,swollen_lymph_nodes,weight_loss
62,AIDS, muscle_wasting, high_fever, extra_marital_contacts,swollen_lymph_nodes,weight_loss
63,AIDS, muscle_wasting, patches_in_throat, extra_marital_contacts,swollen_lymph_nodes,weight_loss
64,AIDS, muscle_wasting, fatigue, high_fever,swollen_lymph_nodes,weight_loss
65,AIDS, muscle_wasting, fatigue, high_fever, extra_marital_contacts,weight_loss
66,AIDS, muscle_wasting, fatigue, high_fever, extra_marital_contacts,weight_loss
67,AIDS, patches_in_throat, high_fever, extra_marital_contacts,swollen_lymph_nodes,weight_loss
68,AIDS, muscle_wasting, high_fever, extra_marital_contacts, diarrhoea,weight_loss
69,AIDS, muscle_wasting, fatigue, high_fever, diarrhoea,weight_loss
70,Diabetes ,excessive_hunger, weight_loss, restlessness, lethargy,blurred_and_distorted_vision
71,Diabetes ,excessive_hunger, weight_loss, restlessness, lethargy,blurred_and_distorted_vision
72,Diabetes , weight_loss, restlessness, lethargy, irregular_sugar_level,blurred_and_distorted_vision
73,Diabetes ,excessive_hunger, restlessness, lethargy, irregular_sugar_level,blurred_and_distorted_vision
74,Diabetes ,excessive_hunger, weight_loss, lethargy, irregular_sugar_level,blurred_and_distorted_vision
75,Diabetes ,excessive_hunger, weight_loss, restlessness, irregular_sugar_level,blurred_and_distorted_vision
76,Diabetes ,excessive_hunger, weight_loss, irregular_sugar_level, lethargy,blurred_and_distorted_vision
77,Diabetes ,excessive_hunger, weight_loss, irregular_sugar_level, lethargy,blurred_and_distorted_vision
78,Diabetes ,excessive_hunger, weight_loss, irregular_sugar_level, lethargy,blurred_and_distorted_vision
79,Diabetes ,excessive_hunger, weight_loss, irregular_sugar_level, lethargy,blurred_and_distorted_vision
80,Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,abdominal_pain
81,Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,abdominal_pain
82,Gastroenteritis, sunken_eyes, dehydration, diarrhoea,nausea,abdominal_pain
83,Gastroenteritis, vomiting, dehydration, diarrhoea,nausea,abdominal_pain
84,Gastroenteritis, vomiting, sunken_eyes, diarrhoea,nausea,abdominal_pain
85,Gastroenteritis, vomiting, sunken_eyes, dehydration,nausea,abdominal_pain
86,Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,abdominal_pain
87,Gastroenteritis, sunken_eyes, dehydration, diarrhoea,nausea,abdominal_pain
88,Gastroenteritis, vomiting, dehydration, diarrhoea,nausea,abdominal_pain
89,Gastroenteritis, vomiting, sunken_eyes, diarrhoea,nausea,abdominal_pain
90,Bronchial Asthma, cough, breathlessness, phlegm, throat_irritation, congestion
91,Bronchial Asthma, cough, breathlessness, phlegm, throat_irritation, congestion
92,Bronchial Asthma, cough, breathlessness, phlegm, throat_irritation, congestion
93,Bronchial Asthma, cough, breathlessness, phlegm, throat_irritation, congestion
94,Bronchial Asthma, fatigue,mucoid_sputum, high_fever, family_history,throat_irritation
95,Bronchial Asthma, fatigue,mucoid_sputum, high_fever, breathlessness,throat_irritation
96,Bronchial Asthma, fatigue,mucoid_sputum, high_fever, breathlessness,throat_irritation
97,Bronchial Asthma, fatigue, mucoid_sputum, high_fever, breathlessness,throat_irritation
98,Bronchial Asthma,mucoid_sputum, high_fever, breathlessness, family_history,throat_irritation
99,Bronchial Asthma, fatigue, high_fever, breathlessness, family_history,throat_irritation
100,Hypertension , headache, chest_pain, dizziness, loss_of_balance,fast_heart_rate
101,Hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration,fast_heart_rate
102,Hypertension , headache, dizziness, loss_of_balance, lack_of_concentration,fast_heart_rate
103,Hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration,fast_heart_rate
104,Hypertension , headache, chest_pain, dizziness, lack_of_concentration,fast_heart_rate
105,Hypertension , headache, chest_pain, dizziness, loss_of_balance,fast_heart_rate
106,Hypertension , headache, chest_pain, dizziness, loss_of_balance,fast_heart_rate
107,Hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration,fast_heart_rate
108,Hypertension , headache, dizziness, loss_of_balance, lack_of_concentration,fast_heart_rate
109,Hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration,fast_heart_rate
110,Migraine, acidity,sweating, headache, blurred_and_distorted_vision,pain_behind_the_eyes
111,Migraine,vomiting, headache, blurred_and_distorted_vision,nausea,pain_behind_the_eyes
112,Migraine,vomiting,sweating, blurred_and_distorted_vision,nausea,pain_behind_the_eyes
113,Migraine,vomiting,sweating, blurred_and_distorted_vision,nausea,pain_behind_the_eyes
114,Migraine,vomiting,sweating, headache,nausea,pain_behind_the_eyes
115,Migraine,vomiting,sweating, headache, blurred_and_distorted_vision,pain_behind_the_eyes
116,Migraine,vomiting,sweating, headache, blurred_and_distorted_vision,pain_behind_the_eyes
117,Migraine,vomiting,sweating, headache, blurred_and_distorted_vision,pain_behind_the_eyes
118,Migraine,vomiting,sweating, headache, blurred_and_distorted_vision,pain_behind_the_eyes
119,Migraine,vomiting,sweating, headache, blurred_and_distorted_vision,pain_behind_the_eyes
120,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain,movement_stiffness,muscle_weakness
121,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness,muscle_weakness
122,Cervical spondylosis, weakness_in_limbs, neck_pain,movement_stiffness,stiff_neck,muscle_weakness
123,Cervical spondylosis, back_pain, neck_pain,movement_stiffness,stiff_neck,muscle_weakness
124,Cervical spondylosis, back_pain, weakness_in_limbs,movement_stiffness,stiff_neck,muscle_weakness
125,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain,stiff_neck,muscle_weakness
126,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain,movement_stiffness,muscle_weakness
127,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain,movement_stiffness,muscle_weakness
128,Cervical spondylosis, weakness_in_limbs, neck_pain,movement_stiffness,stiff_neck,muscle_weakness
129,Cervical spondylosis, back_pain, neck_pain,movement_stiffness,stiff_neck,muscle_weakness
130,Paralysis (brain hemorrhage),unsteadiness,slurred_speech,muscle_weakness, altered_sensorium,weakness_of_one_body_side
131,Paralysis (brain hemorrhage),unsteadiness,slurred_speech,muscle_weakness, altered_sensorium,weakness_of_one_body_side
132,Paralysis (brain hemorrhage),unsteadiness,slurred_speech,muscle_weakness,muscle_weakness,weakness_of_one_body_side
133,Paralysis (brain hemorrhage),unsteadiness,slurred_speech,muscle_weakness,muscle_weakness,weakness_of_one_body_side
134,Paralysis (brain hemorrhage),unsteadiness,slurred_speech,muscle_weakness,muscle_weakness,weakness_of_one_body_side
135,Paralysis (brain hemorrhage),unsteadiness,slurred_speech,muscle_weakness,muscle_weakness,weakness_of_one_body_side
136,Paralysis (brain hemorrhage),unsteadiness,slurred_speech,muscle_weakness, altered_sensorium,weakness_of_one_body_side
137,Paralysis (brain hemorrhage),unsteadiness,slurred_speech, dizziness,muscle_weakness,weakness_of_one_body_side
138,Paralysis (brain hemorrhage),unsteadiness,slurred_speech, dizziness,muscle_weakness,weakness_of_one_body_side
139,Paralysis (brain hemorrhage),unsteadiness,slurred_speech, dizziness,muscle_weakness,weakness_of_one_body_side
140,Jaundice,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, loss_of_appetite
141,Jaundice,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, loss_of_appetite
142,Jaundice,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, loss_of_appetite
143,Jaundice,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, loss_of_appetite
144,Jaundice,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, loss_of_appetite
145,Jaundice,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, loss_of_appetite
146,Jaundice,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, loss_of_appetite
147,Jaundice,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, loss_of_appetite
148,Jaundice,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, loss_of_appetite
149,Jaundice,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, loss_of_appetite
150,Malaria, chills, vomiting, high_fever, sweating,shivering
151,Malaria, chills, vomiting, high_fever, sweating,shivering
152,Malaria, chills, vomiting, high_fever, sweating,shivering
153,Malaria, vomiting, high_fever, sweating, headache,shivering
154,Malaria, chills, high_fever, sweating, headache,shivering
155,Malaria, chills, vomiting, sweating, headache,shivering
156,Malaria, chills, vomiting, high_fever, headache,shivering
157,Malaria, chills, vomiting, high_fever, sweating,shivering
158,Malaria, chills, vomiting, high_fever, sweating,shivering
159,Malaria, chills, vomiting, high_fever, sweating,shivering
160,Chicken pox,itching, skin_rash,red_spots_over_body, lethargy,blister
161,Chicken pox, skin_rash,red_spots_over_body,itching, high_fever,blister
162,Chicken pox,itching, fatigue,red_spots_over_body, high_fever,blister
163,Chicken pox,itching, skin_rash,red_spots_over_body, high_fever,blister
164,Chicken pox,itching, skin_rash,red_spots_over_body, high_fever,blister
165,Chicken pox,itching, skin_rash,red_spots_over_body,nodal_skin_eruptions,blister
166,Chicken pox,itching, high_fever,red_spots_over_body,nodal_skin_eruptions,blister
167,Chicken pox,itching, high_fever,red_spots_over_body,nodal_skin_eruptions,blister
168,Chicken pox,itching, high_fever,red_spots_over_body,nodal_skin_eruptions,blister
169,Chicken pox,itching, high_fever,red_spots_over_body,nodal_skin_eruptions,blister
170,Dengue, skin_rash, chills, joint_pain,muscle_pain,high_fever
171,Dengue, skin_rash, chills, joint_pain,muscle_pain,high_fever
172,Dengue, skin_rash, chills, joint_pain,muscle_pain,high_fever
173,Dengue, skin_rash, chills, joint_pain,muscle_pain,high_fever
174,Dengue, chills, joint_pain,pain_behind_the_eyes,muscle_pain,high_fever
175,Dengue, skin_rash, joint_pain,pain_behind_the_eyes,muscle_pain,high_fever
176,Dengue, skin_rash,pain_behind_the_eyes,pain_behind_the_eyes,muscle_pain,high_fever
177,Dengue, skin_rash,pain_behind_the_eyes, joint_pain,muscle_pain,high_fever
178,Dengue, skin_rash,pain_behind_the_eyes, joint_pain,muscle_pain,high_fever
179,Dengue,headache,pain_behind_the_eyes, joint_pain,muscle_pain,high_fever
180,Typhoid,loss_of_appetite,malaise, fatigue, high_fever,weakness_in_limbs
181,Typhoid,loss_of_appetite,malaise, fatigue, high_fever,weakness_in_limbs
182,Typhoid,loss_of_appetite,malaise, headache, high_fever,weakness_in_limbs
183,Typhoid,loss_of_appetite,malaise, headache, high_fever,weakness_in_limbs
184,Typhoid,loss_of_appetite,malaise, fatigue, high_fever,weakness_in_limbs
185,Typhoid,loss_of_appetite,malaise, fatigue, high_fever,weakness_in_limbs
186,Typhoid,loss_of_appetite,malaise, fatigue, high_fever,weakness_in_limbs
187,Typhoid,loss_of_appetite,malaise, fatigue, high_fever,weakness_in_limbs
188,Typhoid,loss_of_appetite,malaise, fatigue, high_fever,weakness_in_limbs
189,Typhoid,loss_of_appetite,malaise, high_fever, headache,weakness_in_limbs
190,hepatitis A, yellowish_skin, dark_urine, vomiting, loss_of_appetite, fatigue
191,hepatitis A, yellowish_skin, dark_urine, vomiting, loss_of_appetite, fatigue
192,hepatitis A, yellowish_skin, dark_urine, vomiting, loss_of_appetite, fatigue
193,hepatitis A, yellowish_skin, dark_urine, vomiting, loss_of_appetite, fatigue
194,hepatitis A, yellowish_skin, dark_urine, vomiting, loss_of_appetite, fatigue
195,hepatitis A, yellowish_skin, dark_urine, vomiting, loss_of_appetite, fatigue
196,hepatitis A, yellowish_skin, dark_urine, vomiting, loss_of_appetite, fatigue
197,hepatitis A, yellowish_skin, dark_urine, vomiting, loss_of_appetite, fatigue
198,hepatitis A, yellowish_skin, dark_urine, vomiting, loss_of_appetite, fatigue
199,hepatitis A, yellowish_skin, dark_urine, vomiting, loss_of_appetite, fatigue
200,Hepatitis B,yellowing_of_eyes, yellowish_skin, dark_urine, abdominal_pain, fatigue
201,Hepatitis B,yellowing_of_eyes, yellowish_skin, dark_urine, abdominal_pain, fatigue
202,Hepatitis B,yellowing_of_eyes, yellowish_skin, dark_urine, abdominal_pain, fatigue
203,Hepatitis B,yellowing_of_eyes, yellowish_skin, dark_urine, abdominal_pain, fatigue
204,Hepatitis B,yellowing_of_eyes, yellowish_skin, dark_urine, abdominal_pain, fatigue
205,Hepatitis B,yellowing_of_eyes, yellowish_skin, dark_urine, abdominal_pain, fatigue
206,Hepatitis B,yellowing_of_eyes, yellowish_skin, dark_urine, abdominal_pain, fatigue
207,Hepatitis B,yellowing_of_eyes, yellowish_skin, dark_urine, abdominal_pain, fatigue
208,Hepatitis B,yellowing_of_eyes, yellowish_skin, dark_urine, abdominal_pain, fatigue
209,Hepatitis B,yellowing_of_eyes, yellowish_skin, dark_urine, abdominal_pain, fatigue
210,Hepatitis C,fatigue, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain
211,Hepatitis C,fatigue, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain
212,Hepatitis C,fatigue, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain
213,Hepatitis C,fatigue, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain
214,Hepatitis C,fatigue, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain
215,Hepatitis C,fatigue, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain
216,Hepatitis C,fatigue, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain
217,Hepatitis C,fatigue, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain
218,Hepatitis C,fatigue, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain
219,Hepatitis C,fatigue, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain
220,Hepatitis D,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, abdominal_pain
221,Hepatitis D,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, abdominal_pain
222,Hepatitis D,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, abdominal_pain
223,Hepatitis D,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, abdominal_pain
224,Hepatitis D,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, abdominal_pain
225,Hepatitis D,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, abdominal_pain
226,Hepatitis D,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, abdominal_pain
227,Hepatitis D,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, abdominal_pain
228,Hepatitis D,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, abdominal_pain
229,Hepatitis D,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, abdominal_pain
230,Hepatitis E, yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, vomiting
231,Hepatitis E, yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, vomiting
232,Hepatitis E, yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, vomiting
233,Hepatitis E, yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, vomiting
234,Hepatitis E, yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, vomiting
235,Hepatitis E, yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, vomiting
236,Hepatitis E, yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, vomiting
237,Hepatitis E, yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, vomiting
238,Hepatitis E, yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, vomiting
239,Hepatitis E, yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, vomiting
240,Alcoholic hepatitis, history_of_alcohol_consumption,vomiting, yellowing_of_eyes, abdominal_pain,foul_smell_of_urine
241,Alcoholic hepatitis, history_of_alcohol_consumption,vomiting, yellowing_of_eyes, abdominal_pain,foul_smell_of_urine
242,Alcoholic hepatitis, history_of_alcohol_consumption,vomiting, yellowing_of_eyes, abdominal_pain,foul_smell_of_urine
243,Alcoholic hepatitis, history_of_alcohol_consumption,vomiting, yellowing_of_eyes, abdominal_pain,foul_smell_of_urine
244,Alcoholic hepatitis, history_of_alcohol_consumption,vomiting, yellowing_of_eyes, abdominal_pain,foul_smell_of_urine
245,Alcoholic hepatitis, history_of_alcohol_consumption,vomiting, yellowing_of_eyes, abdominal_pain,foul_smell_of_urine
246,Alcoholic hepatitis, history_of_alcohol_consumption,vomiting, yellowing_of_eyes, abdominal_pain,foul_smell_of_urine
247,Alcoholic hepatitis, history_of_alcohol_consumption,vomiting, yellowing_of_eyes, abdominal_pain,foul_smell_of_urine
248,Alcoholic hepatitis, history_of_alcohol_consumption,vomiting, yellowing_of_eyes, abdominal_pain,foul_smell_of_urine
249,Alcoholic hepatitis, history_of_alcohol_consumption,vomiting, yellowing_of_eyes, abdominal_pain,foul_smell_of_urine
250,Tuberculosis,breathlessness,chest_pain,blood_in_sputum, weight_loss,cough
251,Tuberculosis,breathlessness,chest_pain,blood_in_sputum, weight_loss,cough
252,Tuberculosis,breathlessness,chest_pain,blood_in_sputum, weight_loss,cough
253,Tuberculosis,breathlessness,chest_pain,blood_in_sputum, weight_loss,cough
254,Tuberculosis,breathlessness,chest_pain,blood_in_sputum, weight_loss,cough
255,Tuberculosis,breathlessness,chest_pain,blood_in_sputum, weight_loss,cough
256,Tuberculosis,breathlessness,chest_pain,blood_in_sputum, weight_loss,cough
257,Tuberculosis,breathlessness,chest_pain,blood_in_sputum, weight_loss,cough
258,Tuberculosis,breathlessness,chest_pain,blood_in_sputum, weight_loss,cough
259,Tuberculosis,breathlessness,chest_pain,blood_in_sputum, weight_loss,cough
260,Common Cold,mild_fever, runny_nose, congestion, cough, throat_irritation
261,Common Cold,mild_fever, runny_nose, congestion, cough, throat_irritation
262,Common Cold,mild_fever, runny_nose, congestion, cough, throat_irritation
263,Common Cold,mild_fever, runny_nose, congestion, cough, throat_irritation
264,Common Cold,mild_fever, runny_nose, congestion, cough, throat_irritation
265,Common Cold,mild_fever, runny_nose, congestion, cough, throat_irritation
266,Common Cold,mild_fever, runny_nose, congestion, cough, throat_irritation
267,Common Cold,mild_fever, runny_nose, congestion, cough, throat_irritation
268,Common Cold,mild_fever, runny_nose, congestion, cough, throat_irritation
269,Common Cold,mild_fever, runny_nose, congestion, cough, throat_irritation
270,Pneumonia,fatigue, high_fever, breathlessness, chest_pain, phlegm
271,Pneumonia,cough, high_fever, breathlessness, chest_pain, phlegm
272,Pneumonia,fatigue, high_fever, breathlessness, chest_pain, phlegm
273,Pneumonia,cough, high_fever, breathlessness, chest_pain, phlegm
274,Pneumonia,cough, high_fever, breathlessness, chest_pain, phlegm
275,Pneumonia,cough, high_fever, breathlessness, chest_pain, phlegm
276,Pneumonia,cough, high_fever, breathlessness, chest_pain, phlegm
277,Pneumonia,cough, high_fever, breathlessness, chest_pain, phlegm
278,Pneumonia,cough, high_fever, breathlessness, chest_pain, phlegm
279,Pneumonia,cough, high_fever, breathlessness, chest_pain, phlegm
280,Dimorphic hemmorhoids(piles),pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus, constipation
281,Dimorphic hemmorhoids(piles),pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus, constipation
282,Dimorphic hemmorhoids(piles),pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus, constipation
283,Dimorphic hemmorhoids(piles),pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus, constipation
284,Dimorphic hemmorhoids(piles),pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus, constipation
285,Dimorphic hemmorhoids(piles),pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus, constipation
286,Dimorphic hemmorhoids(piles),pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus, constipation
287,Dimorphic hemmorhoids(piles),pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus, constipation
288,Dimorphic hemmorhoids(piles),pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus, constipation
289,Dimorphic hemmorhoids(piles),pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus, constipation
290,Heart attack,chest_pain, breathlessness, sweating, nausea, fast_heart_rate
291,Heart attack,chest_pain, breathlessness, sweating, nausea, fast_heart_rate
292,Heart attack,chest_pain, breathlessness, sweating, nausea, fast_heart_rate
293,Heart attack,chest_pain, breathlessness, sweating, nausea, fast_heart_rate
294,Heart attack,chest_pain, breathlessness, sweating, nausea, fast_heart_rate
295,Heart attack,chest_pain, breathlessness, sweating, nausea, fast_heart_rate
296,Heart attack,chest_pain, breathlessness, sweating, nausea, fast_heart_rate
297,Heart attack,chest_pain, breathlessness, sweating, nausea, fast_heart_rate
298,Heart attack,chest_pain, breathlessness, sweating, nausea, fast_heart_rate
299,Heart attack,chest_pain, breathlessness, sweating, nausea, fast_heart_rate
300,Varicose veins,swollen_legs, swollen_blood_vessels, prominent_veins_on_calf, painful_walking, cramps
301,Varicose veins,swollen_legs, swollen_blood_vessels, prominent_veins_on_calf, painful_walking, cramps
302,Varicose veins,swollen_legs, swollen_blood_vessels, prominent_veins_on_calf, painful_walking, cramps
303,Varicose veins,swollen_legs, swollen_blood_vessels, prominent_veins_on_calf, painful_walking, cramps
304,Varicose veins,swollen_legs, swollen_blood_vessels, prominent_veins_on_calf, painful_walking, cramps
305,Varicose veins,swollen_legs, swollen_blood_vessels, prominent_veins_on_calf, painful_walking, cramps
306,Varicose veins,swollen_legs, swollen_blood_vessels, prominent_veins_on_calf, painful_walking, cramps
307,Varicose veins,swollen_legs, swollen_blood_vessels, prominent_veins_on_calf, painful_walking, cramps
308,Varicose veins,swollen_legs, swollen_blood_vessels, prominent_veins_on_calf, painful_walking, cramps
309,Varicose veins,swollen_legs, swollen_blood_vessels, prominent_veins_on_calf, painful_walking, cramps
310,Hypothyroidism,weight_gain, cold_hands_and_feets, fatigue, enlarged_thyroid, brittle_nails
311,Hypothyroidism,weight_gain, cold_hands_and_feets, fatigue, enlarged_thyroid, brittle_nails
312,Hypothyroidism,weight_gain, cold_hands_and_feets, fatigue, enlarged_thyroid, brittle_nails
313,Hypothyroidism,weight_gain, cold_hands_and_feets, fatigue, enlarged_thyroid, brittle_nails
314,Hypothyroidism,weight_gain, cold_hands_and_feets, fatigue, enlarged_thyroid, brittle_nails
315,Hypothyroidism,weight_gain, cold_hands_and_feets, fatigue, enlarged_thyroid, brittle_nails
316,Hypothyroidism,weight_gain, cold_hands_and_feets, fatigue, enlarged_thyroid, brittle_nails
