Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4,
Heart_attack,Exercise only under supervision,Start with low-intensity activity,Monitor heart rate,Avoid strenuous activity,
Heart_failure,Stop activity if breathless,Avoid high-intensity exercise,Monitor breathing,Take frequent rest breaks,
Heatstroke,Move to cool environment,Hydrate immediately,Seek emergency medical care,Avoid physical exertion until fully recovered,
Hepatitis_A,Exercise only after recovery,Stay hydrated,Monitor fatigue,Follow medical advice,
Hepatitis_B,Avoid high-intensity activity,Stay hydrated,Monitor energy levels,Follow medical treatment,
Hepatitis_C,Exercise only if cleared by physician,Stay hydrated,Monitor fatigue,Follow medical guidance,
Hepatitis_E,Exercise only after recovery,Stay hydrated,Monitor fatigue,Avoid high-intensity exertion,
Hypertension,Avoid heavy lifting,Monitor blood pressure,Stay hydrated,Avoid high-intensity activity,
Hyperthyroidism,Avoid overheating,Monitor heart rate,Stay hydrated,Follow medical advice,
Hypoglycemia,Check blood sugar before activity,Have snacks ready,Avoid prolonged fasting,Stop if dizziness occurs,
Hypothermia,Stay warm,Avoid exposure to cold,Use gradual warm-up,Seek medical attention if needed,
Hypothyroidism,Monitor fatigue,Stay hydrated,Follow medical treatment,Avoid high-intensity exertion,
Impetigo,Maintain hygiene,Avoid direct skin contact,Shower after activity,Avoid scratching,
Influenza(FLU),Rest until recovery,Stay hydrated,Avoid contact with others,Avoid strenuous activity,
Irritable_bowel_syndrome,Avoid triggers for flare-ups,Maintain hydration,Follow prescribed diet,Manage stress,
Kidney_stones,Maintain hydration,Avoid high-impact exercises,Monitor pain,Follow dietary recommendations,
Laryngitis,Avoid voice strain,Stay hydrated,Avoid irritants (smoke),Limit talking,
Leukemia,Exercise only under medical guidance,Stay hydrated,Avoid high-intensity exertion,Monitor for bleeding or fatigue,
Lymphoma,Follow medical advice,Monitor fatigue,Stay hydrated,Avoid high-intensity exertion,Rest adequately
Malaria,Rest until fully recovered,Stay hydrated,Follow prescribed medication,Avoid strenuous activity,
Measles,Isolation until non-infectious,Rest adequately,Stay hydrated,Follow medical treatment,
Meningitis,Seek immediate medical care,Follow prescribed treatment,Rest until cleared,Avoid strenuous activity,
Migraine,Avoid known triggers,Stay hydrated,Rest if symptoms appear,Avoid high-intensity activity,
Multiple_sclerosis,Avoid heat exposure,Follow rehabilitation plan,Monitor fatigue,Rest as needed,
Mumps,Rest until fully recovered,Stay hydrated,Avoid contact with others,Avoid strenuous activity,
Nephrotic_syndrome,Monitor swelling,Follow medical guidance,Stay hydrated,Avoid high-intensity exertion,
Obesity,Follow diet plan,Monitor weight,Hydrate adequately,Avoid excessive strain,
Osteoarthritis,Use low-impact exercises,Avoid joint stress,Stay hydrated,Rest affected joints as needed,
Osteoporosis,Perform safe weight-bearing exercises,Avoid spinal flexion,Avoid high-impact exercise,Maintain balance,
Otitis_media,Avoid swimming or water entering ear,Avoid pressure changes,Follow treatment for infections,Rest until ear pain subsides,
Pancreatitis,Rest during acute phase,Follow medical treatment,Avoid fatty meals,Stay hydrated,
Parkinson_disease,Avoid fall-risk situations,Follow physiotherapy guidance,Use assistive devices as needed,Monitor symptoms,
Peptic_ulcer_disease,Avoid exercise immediately after meals,Monitor pain,Stay hydrated,Avoid activities that increase abdominal pressure,
Pericarditis,Strict rest as prescribed,Avoid exertion,Follow treatment plan,Monitor for chest pain or breathlessness,
Pneumonia,Exercise only after full recovery,Stay hydrated,Monitor breathing,Avoid exertion until cleared,
Polycystic_ovary_syndrome,Follow diet plan,Avoid high-sugar foods,Stay hydrated,Monitor weight,
Prostate_enlargement,Avoid prolonged sitting,Stay hydrated,Perform pelvic floor exercises,Avoid heavy lifting,
Psoriasis,Follow skin care routine,Shower after sweating,Avoid scratching,Avoid high-intensity exercise,
Pulmonary_embolism,Exercise only after medical clearance,Avoid exertion,Monitor for chest pain or breathlessness,Follow treatment plan,
Rabies,Seek immediate medical care,Follow post-exposure prophylaxis,Avoid contact with animals,Avoid strenuous activity,
Rheumatoid_arthritis,Perform joint range-of-motion exercises,Avoid flare triggers,Stay hydrated,Avoid high-intensity or impact activity,
Rubella,Rest until recovered,Stay hydrated,Follow medical treatment,Avoid contact with others,
Schizophrenia,Maintain routine,Follow medication plan,Avoid high-stress situations,Seek supervised exercise if applicable,
Sepsis,Seek immediate medical care,Rest until cleared,Follow medical treatment,Avoid exertion,Monitor vital signs
Sickle_cell_disease,Avoid dehydration,Avoid high-intensity exercise,Rest during pain crises,Monitor for fatigue,
Sinusitis,Avoid cold or dry air,Stay hydrated,Avoid allergens,Rest if symptoms worsen,
Stroke,Exercise under supervision,Avoid fall-risk movements,Monitor balance,Stop activity if dizziness occurs,
Systemic_lupus_erythematosus,Avoid sun exposure,Follow medical treatment,Monitor fatigue,Avoid high-intensity activity,
Tetanus,Seek immediate medical care,Follow treatment plan,Rest until cleared,Avoid exertion,
Thalassemia,Monitor fatigue,Follow medical advice,Stay hydrated,Avoid high-intensity exertion,
Tonsillitis,Rest until fever resolves,Stay hydrated,Avoid strenuous activity,Avoid contact with others,
Tuberculosis,Exercise only after treatment phase,Monitor breathing,Stay hydrated,Avoid high-intensity activity,
Tuberculosis_meningitis,Seek immediate medical care,Follow treatment plan,Rest until cleared,Avoid exertion,
Typhoid,Rest until recovery,Stay hydrated,Follow medical treatment,Avoid strenuous activity,
Ulcerative_colitis,Avoid flare triggers,Monitor symptoms,Stay hydrated,Avoid high-intensity activity,
Urinary_tract_infection,Maintain hydration,Follow medical treatment,Avoid holding urine,Rest if symptoms worsen,
Varicose_veins,Avoid prolonged standing,Avoid heavy lifting,Elevate legs after activity,Use compression garments if prescribed,
Vertigo,Avoid sudden head movements,Use assisted support if needed,Monitor for falls,Avoid high-risk activities,
