Disease,Description
Cholera,"Cholera,""Cholera is a serious diarrheal disease caused by bacteria from unsafe water or food, leading to severe watery diarrhea and dehydration. Quick rehydration and treatment can save lives."""
Chronic Obstructive Pulmonary,"COPD,""COPD is a long‑term lung disease that makes it hard to breathe because airways are blocked or damaged, causing cough and breathlessness."""
Chronic kidney disease,"""Chronic kidney disease happens when the kidneys slowly stop working. This can make you feel tired, cause swelling and let waste build up in the body."""
Chronic_cholestasis,"Chronic Cholestasis, ""Chronic cholestasis is a long‑term condition where bile flow from the liver is slow or blocked, causing itching, jaundice (yellow skin/eyes), and digestion problems."""
Cirrhosis,"""Cirrhosis is severe scarring of the liver caused by long‑term liver damage (like alcohol or hepatitis), leading to fatigue, jaundice and poor liver function."""
Common Cold,"Common Cold,""The common cold is a mild viral infection of the upper respiratory tract causing sneezing, runny nose, sore throat, and cough. It usually resolves with rest and hydration."""
Conjunctivitis,"Conjunctivitis, ""Conjunctivitis, also called ‘pink eye,’ is inflammation of the eye’s outer lining, causing redness, tearing, and itchiness. It may be due to viruses, bacteria, or allergies."""
Coronary artery disease,"Coronary Artery Disease, ""Coronary artery disease is a condition where the blood vessels to the heart become narrow or blocked, reducing blood and oxygen to the heart, which can cause chest pain or a heart attack. It is part of cardiovascular diseases that WHO tracks under heart health."""
Crohn disease,"Crohn Disease, ""Crohn disease is a long‑term condition where the digestive tract becomes inflamed, causing stomach pain, diarrhea and weight loss. It is a type of inflammatory bowel disease."""
Deep_vein_thrombosis,"Deep Vein Thrombosis, ""Deep vein thrombosis (DVT) is when a blood clot forms in a deep vein, usually in the leg. It can cause pain, swelling and may be serious if the clot travels to the lungs. WHO includes it under cardiovascular disease risks."""
Dengue,"Dengue,""Dengue is a mosquito-borne viral infection causing high fever, severe headache, joint pain, and rash. Severe cases may lead to bleeding complications and require medical attention."""
Depression,"Depression, ""Depression is a common mental disorder that causes persistent sadness, loss of interest in activities and reduced ability to function. It affects mood and daily life and is recognized as an important health issue by WHO."""
Diabetes mellitus,"Diabetes Mellitus, ""Diabetes is a chronic condition where the body cannot properly use or make insulin, causing high blood sugar levels. It leads to thirst, frequent urination, fatigue and increases risk of heart and kidney problems. WHO monitors diabetes under non‑communicable diseases."""
Eczema,"Eczema, ""Eczema, also known as atopic dermatitis, is a skin condition that causes dry, itchy, red skin. It can flare up due to irritants, allergies, or dry weather."""
Encephalitis,"Encephalitis, ""Encephalitis is inflammation of the brain, often caused by infections like viruses. It can lead to fever, headache, seizures, confusion, and may be life‑threatening. WHO highlights encephalitis as an important neurological condition."
Endocarditis,"Endocarditis, ""Endocarditis is infection or inflammation of the heart’s inner lining (endocardium), usually caused by bacteria. It can damage heart valves and needs prompt medical treatment."""
Endometriosis,"Endometriosis, ""Endometriosis is a condition where tissue similar to the lining of the uterus grows outside the uterus, often causing pelvic pain, heavy periods, and infertility."""
Epilepsy,"Epilepsy, ""Epilepsy is a neurological disorder marked by recurrent seizures due to abnormal brain activity. WHO recognizes it as a major global health concern."
Erectile_dysfunction,"Erectile Dysfunction, ""Erectile dysfunction is when a man has trouble getting or keeping an erection suitable for sexual activity. It can be due to physical or psychological causes."""
Food_poisoning,"Food Poisoning, ""Food poisoning happens when you eat food contaminated with bacteria, viruses, or toxins. It causes nausea, vomiting, diarrhea, and stomach cramps."""
GERD,"GERD,""Gastroesophageal reflux disease (GERD) occurs when stomach acid repeatedly flows back into the food pipe, causing irritation. Common symptoms include heartburn, chest discomfort, and acid regurgitation. Treatment includes lifestyle changes, diet control, and medications that reduce stomach acid."""
Gallbladder_infection,"Gallbladder_infection,""A gallbladder infection occurs when the gallbladder becomes inflamed, often due to stones blocking bile flow. It causes severe pain in the upper right belly, fever, and nausea. If not treated, it can lead to serious complications requiring antibiotics or surgery."""
Gallstones,"Gallstones, ""Gallstones are hard stones that form in the gallbladder and can cause pain, especially after eating fatty foods."""
Gastroenteritis,"Gastroenteritis, ""Gastroenteritis is an inflammation of the stomach and intestines that causes diarrhoea, vomiting, and stomach pain."""
Glaucoma,"Glaucoma, ""Glaucoma is an eye condition that damages the optic nerve (often due to high eye pressure), leading to vision loss if untreated."""
Gout,"Gout, ""Gout is a type of arthritis caused by buildup of uric acid crystals in joints, leading to sudden, severe joint pain and swelling."""
Guillain-Barre_syndrome,"Guillain–Barré Syndrome, ""Guillain–Barré syndrome is a rare condition where the immune system attacks the nerves, causing weakness and possible paralysis."""
HIV infection,"HIV Infection, ""HIV infection is caused by the human immunodeficiency virus that weakens the immune system. Without treatment, it can lead to AIDS."""
Heart attack,"Heart attack,""A heart attack occurs when blood flow to part of the heart is blocked, causing damage to heart muscle. Symptoms include chest pain, breathlessness, and sweating. Immediate medical treatment is essential."""
Heart failure,"Heart Failure, ""Heart failure is when the heart can’t pump blood well enough, causing tiredness, shortness of breath, and swelling."""
Heatstroke,"Heatstroke, ""Heatstroke happens when the body overheats due to extreme heat, causing high body temperature, confusion, and danger to life if not treated quickly."""
Hepatitis A,"Hepatitis A,""Hepatitis A is a viral liver infection transmitted through contaminated food or water, causing fatigue, nausea, and jaundice. Most patients recover completely with supportive care."""
Hepatitis B,"Hepatitis B,""Hepatitis B is a viral infection affecting the liver and spread through infected blood or body fluids. It may cause chronic liver disease and is preventable through vaccination."""
Hepatitis C,"Hepatitis C,""Hepatitis C is a viral liver infection primarily spread through contaminated blood. It may lead to chronic liver disease but can often be treated with antiviral medications."""
Hepatitis E,"Hepatitis E,""Hepatitis E is a viral liver infection commonly transmitted through contaminated water, causing jaundice and fatigue. Most cases resolve with supportive treatment."""
Hypertension,"Hypertension,""Hypertension, or high blood pressure, occurs when blood pressure remains consistently elevated, increasing heart disease risk. It may not show symptoms initially and is managed through lifestyle changes and medications."""
Hyperthyroidism,"Hyperthyroidism, ""Hyperthyroidism is when the thyroid gland makes too much hormone, causing fast heartbeat, weight loss, and nervousness."""
Hypoglycemia,"Hypoglycemia, ""Hypoglycemia means blood sugar is too low, causing sweating, shaking, hunger, and confusion."""
Hypothermia,"Hypothermia, ""Hypothermia happens when the body gets too cold, making shivering, slow breathing, and confusion."""
Hypothyroidism,"Hypothyroidism, ""Hypothyroidism is when the thyroid gland doesn’t make enough hormones, causing tiredness, weight gain, and feeling cold."""
Impetigo,"Impetigo,""Impetigo is a contagious bacterial skin infection causing red sores that form yellow crusts, commonly affecting children. Treatment includes antibiotic creams or medications."""
Influenza(FLU),"Influenza (FLU), ""Influenza is a contagious viral infection of the nose, throat and lungs causing fever, cough, and body aches."""
Irritable bowel syndrome,"Irritable Bowel Syndrome (IBS), ""IBS is a common gut condition that causes stomach pain, bloating, and changes in bowel movements."""
Kidney stones,"Kidney Stones, ""Kidney stones are hard mineral stones that form in the kidneys and can cause severe back or belly pain when they pass."""
Laryngitis,"Laryngitis, ""Laryngitis is when the voice box becomes inflamed, causing hoarse voice or loss of voice."""
Leukemia,"Leukemia, ""Leukemia is a cancer of the blood cells, causing fatigue, frequent infections, and easy bleeding."""
Lymphoma,"Lymphoma, ""Lymphoma is a cancer of the lymphatic system, leading to swollen glands, fever, and weight loss."""
Malaria,"Malaria, ""Malaria is a mosquito‑borne disease that causes fever, chills, and potentially severe illness. Preventive measures and treatment are important."""
Measles,"Measles, ""Measles is a highly contagious viral disease causing fever and rash; vaccination prevents it."""
Meningitis,"Meningitis, ""Meningitis is inflammation of the brain and spinal cord coverings, causing fever, headache, and stiff neck; it can be life‑threatening."""
Migraine,"Migraine, ""Migraine is a neurological condition causing severe, recurring headaches often with nausea and sensitivity to light."""
Multiple_sclerosis,"Multiple Sclerosis, ""Multiple sclerosis is a chronic condition where the immune system damages nerves in the brain and spinal cord, causing weakness and loss of coordination."""
Mumps,"Mumps, ""Mumps is a viral infection that causes painful swelling of the salivary glands. Vaccination helps prevent it."""
Nephrotic_syndrome,"Nephrotic Syndrome, ""Nephrotic syndrome is a kidney disorder causing high protein loss in urine, leading to swelling and low blood protein levels."""
Obesity,"Obesity, ""Obesity means having too much body fat, increasing the risk of heart disease, diabetes and other health problems."""
Osteoarthritis,"Osteoarthritis, ""Osteoarthritis is a joint disease where cartilage wears down, causing pain and stiffness. It’s common with aging."""
Osteoporosis,"Osteoporosis, ""Osteoporosis is a condition where bones become weak and easy to break."""
Otitis media,"Otitis Media, ""Otitis media is a middle ear infection that causes ear pain, especially in children."""
Pancreatitis,"Pancreatitis, ""Pancreatitis is inflammation of the pancreas, causing belly pain and nausea."""
Parkinson disease,"Parkinson Disease, ""Parkinson’s disease is a brain disorder that affects movement, causing tremors and stiffness."""
Peptic ulcer disease,"Peptic Ulcer Disease, ""Peptic ulcers are sores in the stomach or upper intestine lining causing burning pain."""
Pericarditis,"Pericarditis, ""Pericarditis is inflammation of the sac around the heart causing chest pain."""
Pneumonia,"Pneumonia, ""Pneumonia is a lung infection causing cough, fever, and difficulty breathing."""
Polycystic_ovary_syndrome,"Polycystic Ovary Syndrome (PCOS), ""PCOS is a hormonal disorder causing irregular periods, cysts on ovaries, and fertility problems."""
Prostate_enlargement,"Prostate Enlargement, ""Prostate enlargement (BPH) is when the prostate grows bigger, causing urinary problems in older men."""
Psoriasis,"Psoriasis, ""Psoriasis is a skin condition causing red, scaly patches; treatment helps control flare‑ups."""
Pulmonary_embolism,"Pulmonary Embolism, ""Pulmonary embolism is a blood clot in the lungs that causes sudden shortness of breath and chest pain."""
Rabies,"Rabies, ""Rabies is a viral disease spread by animal bites; it affects the brain and is almost always fatal without treatment."""
Rheumatoid arthritis,"Rheumatoid Arthritis, ""Rheumatoid arthritis is an autoimmune disease causing joint pain, swelling, and stiffness."""
Rubella,"Rubella, ""Rubella (German measles) is a viral infection causing rash and fever; vaccination prevents it."""
Schizophrenia,"Schizophrenia ,""Schizophrenia is a mental illness affecting thoughts and behavior, making daily life difficult."""
Sepsis,"Sepsis ,""Sepsis is a dangerous body reaction to infection that can damage organs and be life-threatening."""
Sickle_cell_disease,"Sickle Cell Disease ,""Sickle cell disease is an inherited blood disorder causing misshapen red blood cells, pain, and anemia."""
Sinusitis,"Sinusitis,""Sinusitis is swelling of the sinuses causing facial pain, pressure, and blocked nose."""
Stroke,"Stroke , ""Stroke happens when blood flow to the brain stops or a vessel bursts, causing weakness or speech problems."""
Systemic_lupus_erythematosus,"Systemic Lupus Erythematosus (SLE) ,""SLE is a disease where the immune system attacks the body, causing inflammation in organs and joints."""
Tetanus,"Tetanus ,""Tetanus is a serious infection from wounds causing muscle stiffness and spasms; vaccination prevents it."""
Thalassemia,"Thalassemia ,""Thalassemia is an inherited blood disorder causing low hemoglobin, fatigue, and sometimes needing blood transfusions."""
Tonsillitis,"Tonsillitis ,""Tonsillitis is an infection of the tonsils causing sore throat, fever, and trouble swallowing."""
Tuberculosis,"Tuberculosis,""Tuberculosis is a bacterial infection mainly affecting the lungs and spreads through air. Symptoms include persistent cough, fever, and weight loss. Treatment requires long-term antibiotics."""
Tuberculosis meningitis,"Tuberculosis Meningitis ,""TB meningitis is TB infection of the brain membranes causing headache, fever, stiff neck, and confusion."""
Typhoid,"Typhoid,""Typhoid fever is a bacterial infection spread through contaminated food or water, causing prolonged fever, weakness, and abdominal pain. Treatment requires antibiotics and safe hygiene practices."""
Ulcerative colitis,"Ulcerative Colitis,""Ulcerative colitis is an inflammatory bowel disease causing bloody diarrhea, abdominal pain, and tiredness."""
Urinary tract infection,"Urinary Tract Infection (UTI), ""UTI is a bacterial infection in the urinary system causing painful urination and lower belly pain."""
Varicose veins,"Varicose Veins , ""Varicose veins are twisted, swollen veins in the legs causing aching, swelling, and discomfort."""
Vertigo,"Vertigo ,""Vertigo is a feeling of spinning or dizziness, often from ear or nerve problems."""
