Disease,Medication
Kidney stones,"['Ibuprofen', 'Tamsulosin', 'Potassium citrate']"
Laryngitis,"['Paracetamol', 'Ibuprofen', 'Corticosteroids']"
Leukemia,"['Methotrexate', 'Cyclophosphamide', 'Imatinib']"
Lymphoma,"['Cyclophosphamide', 'Doxorubicin', 'Rituximab']"
Malaria,"['Artemether-lumefantrine', 'Artesunate', 'Chloroquine']"
Measles,"['Vitamin A', 'Paracetamol', 'IV fluids']"
Meningitis,"['Ceftriaxone', 'Penicillin', 'Vancomycin', 'Dexamethasone']"
Migraine,"['Paracetamol', 'Ibuprofen', 'Sumatriptan', 'Propranolol']"
Multiple_sclerosis,"['Interferon beta', 'Methylprednisolone']"
Mumps,"['Paracetamol', 'Ibuprofen', 'IV fluids']"
Nephrotic_syndrome,"['Prednisolone', 'Furosemide', 'Enalapril']"
Obesity,"['Orlistat', 'Metformin']"
Osteoarthritis,"['Paracetamol', 'Ibuprofen', 'Diclofenac']"
Osteoporosis,"['Calcium supplements', 'Vitamin D', 'Alendronate']"
Otitis media,"['Amoxicillin', 'Paracetamol', 'Ibuprofen']"
Pancreatitis,"['IV fluids', 'Paracetamol', 'Morphine']"
Parkinson disease,"['Omeprazole', 'Amoxicillin', 'Clarithromycin']"
Peptic ulcer disease,"['Ibuprofen', 'Colchicine', 'Prednisolone']"
Pericarditis,"['Ibuprofen', 'Colchicine', 'Prednisolone']"
Pneumonia,"['Amoxicillin', 'Azithromycin', 'Ceftriaxone', 'Oxygen therapy']"
Polycystic_ovary_syndrome,"['Metformin', 'Oral contraceptive pills', 'Clomiphene']"
Prostate_enlargement,"['Tamsulosin', 'Finasteride']"
Psoriasis,"['Betamethasone cream', 'Methotrexate', 'Calcipotriol']"
Pulmonary_embolism,"['Heparin', 'Warfarin', 'Rivaroxaban']"
Rabies,"['Rabies vaccine', 'Rabies immunoglobulin']"
Rheumatoid arthritis,"['Methotrexate', 'Sulfasalazine', 'Prednisolone', 'Ibuprofen']"
Rubella,"['Paracetamol', 'IV fluids']"
Schizophrenia,"['Haloperidol', 'Risperidone', 'Olanzapine']"
Sepsis,"['Ceftriaxone', 'Vancomycin', 'IV fluids', 'Oxygen therapy']"
Sickle_cell_disease,"['Hydroxyurea', 'Folic acid', 'Penicillin', 'Pain relievers']"
Sinusitis,"['Amoxicillin', 'Paracetamol', 'Nasal decongestants']"
Stroke,"['Aspirin', 'Clopidogrel', 'Alteplase', 'Atorvastatin']"
Systemic_lupus_erythematosus,"['Hydroxychloroquine', 'Prednisolone', 'Azathioprine']"
Tetanus,"['Tetanus immunoglobulin', 'Metronidazole', 'Diazepam']"
Thalassemia,"['Folic acid', 'Iron chelators', 'Blood transfusion']"
Tonsillitis,"['Penicillin', 'Amoxicillin', 'Paracetamol']"
Tuberculosis,"['Isoniazid', 'Rifampicin', 'Pyrazinamide', 'Ethambutol']"
Tuberculosis meningitis,"['Isoniazid', 'Rifampicin', 'Pyrazinamide', 'Ethambutol', 'Dexamethasone']"
Typhoid,"['Ceftriaxone', 'Azithromycin', 'Ciprofloxacin']"
Ulcerative colitis,"['Sulfasalazine', 'Prednisolone', 'Azathioprine']"
Urinary tract infection,"['Nitrofurantoin', 'Cotrimoxazole', 'Ciprofloxacin']"
Varicose veins,"['Compression stockings', 'Pain relievers']"
Vertigo,"['Betahistine', 'Meclizine', 'Diazepam']"
