Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,
COVID-19,fever,dry_cough,sore_throat,loss_of_taste,shortness_of_breath,
COVID-19,fever,dry_cough,fatigue,loss_of_taste,muscle_pain,
Measles,high_fever,skin_rash,red_eyes,cough,runny_nose,
Measles,high_fever,skin_rash,red_eyes,cough,runny_nose,
Measles,high_fever,skin_rash,red_eyes,cough,runny_nose,
Measles,high_fever,skin_rash,red_eyes,cough,runny_nose,
Measles,high_fever,skin_rash,red_eyes,cough,runny_nose,
Measles,high_fever,skin_rash,red_eyes,cough,runny_nose,
Measles,high_fever,skin_rash,red_eyes,cough,runny_nose,
Measles,high_fever,skin_rash,red_eyes,cough,runny_nose,
Measles,high_fever,skin_rash,red_eyes,cough,runny_nose,
Measles,high_fever,skin_rash,red_eyes,cough,runny_nose,
Measles,high_fever,skin_rash,red_eyes,cough,runny_nose,
Measles,high_fever,skin_rash,red_eyes,cough,runny_nose,
Mumps,fever,swollen_salivary_glands,headache,muscle_pain,fatigue,
Mumps,fever,swollen_salivary_glands,headache,muscle_pain,fatigue,
Mumps,fever,swollen_salivary_glands,headache,muscle_pain,fatigue,
Mumps,fever,swollen_salivary_glands,headache,muscle_pain,fatigue,
Mumps,fever,swollen_salivary_glands,headache,muscle_pain,fatigue,
Mumps,fever,swollen_salivary_glands,headache,muscle_pain,fatigue,
Mumps,fever,swollen_salivary_glands,headache,muscle_pain,fatigue,
Mumps,fever,swollen_salivary_glands,headache,muscle_pain,fatigue,
Mumps,fever,swollen_salivary_glands,headache,muscle_pain,fatigue,
Mumps,fever,swollen_salivary_glands,headache,muscle_pain,fatigue,
Mumps,fever,swollen_salivary_glands,headache,muscle_pain,fatigue,
Mumps,fever,swollen_salivary_glands,headache,muscle_pain,fatigue,
Rubella,skin_rash,fever,swollen_lymph_nodes,joint_pain,headache,
Rubella,skin_rash,fever,swollen_lymph_nodes,joint_pain,headache,
Rubella,skin_rash,low_grade_fever,swollen_lymph_nodes,joint_pain,headache,
Rubella,skin_rash,low_grade_fever,swollen_lymph_nodes,joint_pain,headache,
Rubella,skin_rash,low_grade_fever,swollen_lymph_nodes,joint_pain,headache,
Rubella,skin_rash,low_grade_fever,swollen_lymph_nodes,joint_pain,headache,
Rubella,skin_rash,low_grade_fever,swollen_lymph_nodes,joint_pain,headache,
Rubella,skin_rash,low_grade_fever,swollen_lymph_nodes,joint_pain,headache,
Rubella,skin_rash,low_grade_fever,swollen_lymph_nodes,joint_pain,headache,
Rubella,skin_rash,low_grade_fever,swollen_lymph_nodes,joint_pain,headache,
Rubella,skin_rash,low_grade_fever,swollen_lymph_nodes,joint_pain,headache,
Rubella,skin_rash,low_grade_fever,swollen_lymph_nodes,joint_pain,headache,
Dengue,high_fever,severe_headache,eye_pain,muscle_pain,skin_rash,
Dengue,high_fever,headache,eye_pain,muscle_pain,skin_rash,
Dengue,high_fever,headache,eye_pain,muscle_pain,vomiting,
Dengue,high_fever,severe_headache,eye_pain,muscle_pain,vomiting,
Dengue,high_fever,headache,eye_pain,muscle_pain,skin_rash,
Dengue,high_fever,severe_headache,eye_pain,muscle_pain,nausea,
Dengue,high_fever,headache,eye_pain,muscle_pain,skin_rash,
Dengue,high_fever,headache,eye_pain,muscle_pain,nausea,
Dengue,high_fever,headache,eye_pain,muscle_pain,vomiting,
Dengue,high_fever,severe_headache,eye_pain,muscle_pain,skin_rash,
Dengue,high_fever,headache,eye_pain,muscle_pain,skin_rash,
Dengue,high_fever,severe_headache,eye_pain,muscle_pain,skin_rash,
Malaria,high_fever,chills,sweating,headache,nausea,
Malaria,high_fever,chills,sweating,headache,nausea,
Malaria,high_fever,chills,sweating,headache,nausea,
Malaria,high_fever,chills,sweating,headache,nausea,
Malaria,high_fever,chills,sweating,headache,nausea,
Malaria,high_fever,chills,sweating,headache,nausea,
Malaria,high_fever,chills,sweating,headache,nausea,
Malaria,high_fever,chills,sweating,headache,nausea,
Malaria,high_fever,chills,sweating,headache,nausea,
Malaria,high_fever,chills,sweating,headache,nausea,
Malaria,high_fever,chills,sweating,headache,nausea,
Malaria,high_fever,chills,sweating,headache,nausea,
Typhoid,prolonged_fever,abdominal_pain,headache,diarrhea,dry_cough,
Typhoid,prolonged_fever,loss_of_appetite,headache,diarrhea,weakness,
Typhoid,prolonged_fever,abdominal_pain,headache,diarrhea,weakness,
Typhoid,prolonged_fever,abdominal_pain,headache,diarrhea,dry_cough,
Typhoid,prolonged_fever,abdominal_pain,headache,diarrhea,weakness,
Typhoid,prolonged_fever,abdominal_pain,headache,diarrhea,weakness,
Typhoid,prolonged_fever,loss_of_appetite,headache,diarrhea,weakness,
Typhoid,prolonged_fever,abdominal_pain,headache,diarrhea,dry_cough,
Typhoid,prolonged_fever,loss_of_appetite,headache,diarrhea,weakness,
Typhoid,prolonged_fever,abdominal_pain,headache,diarrhea,weakness,
Typhoid,prolonged_fever,loss_of_appetite,headache,diarrhea,dry_cough,
Typhoid,prolonged_fever,abdominal_pain,headache,diarrhea,weakness,
Cholera,watery_diarrhea,dehydration,leg_cramps,nausea,vomiting,
Cholera,watery_diarrhea,dehydration,leg_cramps,nausea,vomiting,
Cholera,watery_diarrhea,dehydration,leg_cramps,nausea,vomiting,
Cholera,watery_diarrhea,dehydration,leg_cramps,nausea,vomiting,
Cholera,watery_diarrhea,dehydration,leg_cramps,nausea,vomiting,
Cholera,watery_diarrhea,dehydration,leg_cramps,nausea,vomiting,
Cholera,watery_diarrhea,dehydration,leg_cramps,nausea,vomiting,
Cholera,watery_diarrhea,dehydration,leg_cramps,nausea,vomiting,
Cholera,watery_diarrhea,dehydration,leg_cramps,nausea,vomiting,
Cholera,watery_diarrhea,dehydration,leg_cramps,nausea,vomiting,
Cholera,watery_diarrhea,dehydration,leg_cramps,nausea,vomiting,
Cholera,watery_diarrhea,dehydration,leg_cramps,nausea,vomiting,
Gastroenteritis,headache,vomiting,stomach_pain,dehydration,fever,
Gastroenteritis,diarrhea,vomiting,abdominal_cramps,dehydration,fever,
Gastroenteritis,diarrhea,vomiting,abdominal_cramps,dehydration,fever,
Gastroenteritis,headache,vomiting,abdominal_cramps,dehydration,fever,
Gastroenteritis,diarrhea,vomiting,stomach_pain,dehydration,fever,
Gastroenteritis,diarrhea,vomiting,abdominal_cramps,dehydration,fever,
Gastroenteritis,headache,vomiting,abdominal_cramps,dehydration,fever,
Gastroenteritis,diarrhea,vomiting,abdominal_cramps,dehydration,fever,
Gastroenteritis,diarrhea,vomiting,abdominal_cramps,dehydration,fever,
Gastroenteritis,diarrhea,vomiting,stomach_pain,dehydration,fever,
Gastroenteritis,diarrhea,vomiting,abdominal_cramps,dehydration,fever,
Gastroenteritis,headache,vomiting,abdominal_cramps,dehydration,fever,
Hepatitis A,jaundice,fatigue,abdominal_pain,nausea,dark_urine,
Hepatitis A,jaundice,fatigue,abdominal_pain,nausea,dark_urine,
Hepatitis A,jaundice,fatigue,abdominal_pain,nausea,dark_urine,
Hepatitis A,jaundice,fatigue,abdominal_pain,nausea,dark_urine,
Hepatitis A,jaundice,fatigue,abdominal_pain,nausea,dark_urine,
Hepatitis A,jaundice,fatigue,abdominal_pain,nausea,dark_urine,
Hepatitis A,jaundice,fatigue,abdominal_pain,nausea,dark_urine,
Hepatitis A,jaundice,fatigue,abdominal_pain,nausea,dark_urine,
Hepatitis A,jaundice,fatigue,abdominal_pain,nausea,dark_urine,
Hepatitis A,jaundice,fatigue,abdominal_pain,nausea,dark_urine,
Hepatitis B,jaundice,abdominal_pain,fatigue,dark_urine,loss_of_appetite,
Hepatitis B,jaundice,abdominal_pain,fatigue,dark_urine,loss_of_appetite,
Hepatitis B,jaundice,abdominal_pain,fatigue,dark_urine,loss_of_appetite,
Hepatitis B,jaundice,abdominal_pain,fatigue,dark_urine,loss_of_appetite,
Hepatitis B,jaundice,abdominal_pain,fatigue,dark_urine,loss_of_appetite,
Hepatitis B,jaundice,abdominal_pain,fatigue,dark_urine,loss_of_appetite,
Hepatitis B,jaundice,abdominal_pain,fatigue,dark_urine,loss_of_appetite,
Hepatitis B,jaundice,abdominal_pain,fatigue,dark_urine,loss_of_appetite,
Hepatitis B,jaundice,abdominal_pain,fatigue,dark_urine,loss_of_appetite,
Hepatitis B,jaundice,abdominal_pain,fatigue,dark_urine,loss_of_appetite,
Hepatitis B,jaundice,abdominal_pain,fatigue,dark_urine,loss_of_appetite,
Hepatitis B,jaundice,abdominal_pain,fatigue,dark_urine,loss_of_appetite,
Hepatitis C,fatigue,jaundice,abdominal_pain,dark_urine,loss_of_appetite,
Hepatitis C,fatigue,jaundice,abdominal_pain,dark_urine,loss_of_appetite,
Hepatitis C,fatigue,jaundice,abdominal_pain,dark_urine,loss_of_appetite,
Hepatitis C,fatigue,jaundice,abdominal_pain,dark_urine,loss_of_appetite,
Hepatitis C,fatigue,jaundice,abdominal_pain,dark_urine,loss_of_appetite,
Hepatitis C,fatigue,jaundice,abdominal_pain,dark_urine,loss_of_appetite,
Hepatitis C,fatigue,jaundice,abdominal_pain,dark_urine,loss_of_appetite,
Hepatitis C,fatigue,jaundice,abdominal_pain,dark_urine,loss_of_appetite,
Hepatitis C,fatigue,jaundice,abdominal_pain,dark_urine,loss_of_appetite,
Hepatitis C,fatigue,jaundice,abdominal_pain,dark_urine,loss_of_appetite,
Hepatitis C,fatigue,jaundice,abdominal_pain,dark_urine,loss_of_appetite,
Hepatitis C,fatigue,jaundice,abdominal_pain,dark_urine,loss_of_appetite,
Hepatitis E,jaundice,fatigue,vomiting,abdominal_pain,dark_urine,
Hepatitis E,jaundice,fatigue,vomiting,abdominal_pain,dark_urine,
Hepatitis E,jaundice,fatigue,vomiting,abdominal_pain,dark_urine,
Hepatitis E,jaundice,fatigue,vomiting,abdominal_pain,dark_urine,
Hepatitis E,jaundice,fatigue,vomiting,abdominal_pain,dark_urine,
Hepatitis E,jaundice,fatigue,vomiting,abdominal_pain,dark_urine,
Hepatitis E,jaundice,fatigue,vomiting,abdominal_pain,dark_urine,
Hepatitis E,jaundice,fatigue,vomiting,abdominal_pain,dark_urine,
Hepatitis E,jaundice,fatigue,vomiting,abdominal_pain,dark_urine,
Hepatitis E,jaundice,fatigue,vomiting,abdominal_pain,dark_urine,
HIV infection,fever,weight_loss,night_sweats,swollen_lymph_nodes,fatigue,
HIV infection,fever,weight_loss,night_sweats,swollen_lymph_nodes,fatigue,
HIV infection,fever,weight_loss,night_sweats,swollen_lymph_nodes,fatigue,
HIV infection,fever,weight_loss,night_sweats,swollen_lymph_nodes,fatigue,
HIV infection,fever,weight_loss,night_sweats,swollen_lymph_nodes,fatigue,
HIV infection,fever,weight_loss,night_sweats,swollen_lymph_nodes,fatigue,
HIV infection,fever,weight_loss,night_sweats,swollen_lymph_nodes,fatigue,
HIV infection,fever,weight_loss,night_sweats,swollen_lymph_nodes,fatigue,
HIV infection,fever,weight_loss,night_sweats,swollen_lymph_nodes,fatigue,
HIV infection,fever,weight_loss,night_sweats,swollen_lymph_nodes,fatigue,
HIV infection,fever,weight_loss,night_sweats,swollen_lymph_nodes,fatigue,
HIV infection,fever,weight_loss,night_sweats,swollen_lymph_nodes,fatigue,
AIDS,weight_loss,chronic_diarrhea,fever,night_sweats,recurrent_infections,
AIDS,weight_loss,chronic_diarrhea,fever,night_sweats,recurrent_infections,
AIDS,weight_loss,chronic_diarrhea,fever,night_sweats,recurrent_infections,
AIDS,weight_loss,chronic_diarrhea,fever,night_sweats,recurrent_infections,
AIDS,weight_loss,chronic_diarrhea,fever,night_sweats,recurrent_infections,
AIDS,weight_loss,chronic_diarrhea,fever,night_sweats,recurrent_infections,
AIDS,weight_loss,chronic_diarrhea,fever,night_sweats,recurrent_infections,
AIDS,weight_loss,chronic_diarrhea,fever,night_sweats,recurrent_infections,
AIDS,weight_loss,chronic_diarrhea,fever,night_sweats,recurrent_infections,
AIDS,weight_loss,chronic_diarrhea,fever,night_sweats,recurrent_infections,
AIDS,weight_loss,chronic_diarrhea,fever,night_sweats,recurrent_infections,
AIDS,weight_loss,chronic_diarrhea,fever,night_sweats,recurrent_infections,
Meningitis,high_fever,stiff_neck,severe_headache,nausea,confusion,
Meningitis,high_fever,stiff_neck,severe_headache,nausea,confusion,
Meningitis,high_fever,stiff_neck,severe_headache,nausea,confusion,
Meningitis,high_fever,stiff_neck,severe_headache,nausea,confusion,
Meningitis,high_fever,stiff_neck,severe_headache,nausea,confusion,
Meningitis,high_fever,stiff_neck,severe_headache,nausea,confusion,
Meningitis,high_fever,stiff_neck,severe_headache,nausea,confusion,
Meningitis,high_fever,stiff_neck,severe_headache,nausea,confusion,
Meningitis,high_fever,stiff_neck,severe_headache,nausea,confusion,
Meningitis,high_fever,stiff_neck,severe_headache,nausea,confusion,
Meningitis,high_fever,stiff_neck,severe_headache,nausea,confusion,
Meningitis,high_fever,stiff_neck,severe_headache,nausea,confusion,
Tetanus,muscle_stiffness,lockjaw,muscle_spasms,difficulty_swallowing,fever,
Tetanus,muscle_stiffness,lockjaw,muscle_spasms,difficulty_swallowing,fever,
Tetanus,muscle_stiffness,lockjaw,muscle_spasms,difficulty_swallowing,fever,
Tetanus,muscle_stiffness,lockjaw,muscle_spasms,difficulty_swallowing,fever,
Tetanus,muscle_stiffness,lockjaw,muscle_spasms,difficulty_swallowing,fever,
Tetanus,muscle_stiffness,lockjaw,muscle_spasms,difficulty_swallowing,fever,
Tetanus,muscle_stiffness,lockjaw,muscle_spasms,difficulty_swallowing,fever,
Tetanus,muscle_stiffness,lockjaw,muscle_spasms,difficulty_swallowing,fever,
Tetanus,muscle_stiffness,lockjaw,muscle_spasms,difficulty_swallowing,fever,
Tetanus,muscle_stiffness,lockjaw,muscle_spasms,difficulty_swallowing,fever,
Tetanus,muscle_stiffness,lockjaw,muscle_spasms,difficulty_swallowing,fever,
Tetanus,muscle_stiffness,lockjaw,muscle_spasms,difficulty_swallowing,fever,
Tetanus,muscle_stiffness,lockjaw,muscle_spasms,difficulty_swallowing,fever,
Tetanus,muscle_stiffness,lockjaw,muscle_spasms,difficulty_swallowing,fever,
Tetanus,muscle_stiffness,lockjaw,muscle_spasms,difficulty_swallowing,fever,
Tetanus,muscle_stiffness,lockjaw,muscle_spasms,difficulty_swallowing,fever,
Tetanus,muscle_stiffness,lockjaw,muscle_spasms,difficulty_swallowing,fever,
Tetanus,muscle_stiffness,lockjaw,muscle_spasms,difficulty_swallowing,fever,
Tetanus,muscle_stiffness,lockjaw,muscle_spasms,difficulty_swallowing,fever,
Tetanus,muscle_stiffness,lockjaw,muscle_spasms,difficulty_swallowing,fever,
Tetanus,muscle_stiffness,lockjaw,muscle_spasms,difficulty_swallowing,fever,
Tetanus,muscle_stiffness,lockjaw,muscle_spasms,difficulty_swallowing,fever,
Tetanus,muscle_stiffness,lockjaw,muscle_spasms,difficulty_swallowing,fever,
Tetanus,muscle_stiffness,lockjaw,muscle_spasms,difficulty_swallowing,fever,
Rabies,fever,headache,confusion,hydrophobia,anxiety,
Rabies,fever,headache,confusion,hydrophobia,anxiety,
Rabies,fever,headache,confusion,hydrophobia,anxiety,
Rabies,fever,headache,confusion,hydrophobia,anxiety,
Rabies,fever,headache,confusion,hydrophobia,anxiety,
Rabies,fever,headache,confusion,hydrophobia,anxiety,
Rabies,fever,headache,confusion,hydrophobia,anxiety,
Rabies,fever,headache,confusion,hydrophobia,anxiety,
Rabies,fever,headache,confusion,hydrophobia,anxiety,
Rabies,fever,headache,confusion,hydrophobia,anxiety,
Rabies,fever,headache,confusion,hydrophobia,anxiety,
Rabies,fever,headache,confusion,hydrophobia,anxiety,
Rabies,fever,headache,confusion,hydrophobia,anxiety,
Rabies,fever,headache,confusion,hydrophobia,anxiety,
Rabies,fever,headache,confusion,hydrophobia,anxiety,
Rabies,fever,headache,confusion,hydrophobia,anxiety,
Rabies,fever,headache,confusion,hydrophobia,anxiety,
Rabies,fever,headache,confusion,hydrophobia,anxiety,
Rabies,fever,headache,confusion,hydrophobia,anxiety,
Rabies,fever,headache,confusion,hydrophobia,anxiety,
Appendicitis,abdominal_pain,nausea,vomiting,fever,loss_of_appetite,
Appendicitis,abdominal_pain,nausea,vomiting,fever,loss_of_appetite,
Appendicitis,abdominal_pain,nausea,vomiting,fever,loss_of_appetite,
Appendicitis,abdominal_pain,nausea,vomiting,fever,loss_of_appetite,
Appendicitis,abdominal_pain,nausea,vomiting,fever,loss_of_appetite,
Appendicitis,abdominal_pain,nausea,vomiting,fever,loss_of_appetite,
Appendicitis,abdominal_pain,nausea,vomiting,fever,loss_of_appetite,
Appendicitis,abdominal_pain,nausea,vomiting,fever,loss_of_appetite,
Appendicitis,abdominal_pain,nausea,vomiting,fever,loss_of_appetite,
Appendicitis,abdominal_pain,nausea,vomiting,fever,loss_of_appetite,
Appendicitis,abdominal_pain,nausea,vomiting,fever,loss_of_appetite,
Appendicitis,abdominal_pain,nausea,vomiting,fever,loss_of_appetite,
Appendicitis,abdominal_pain,nausea,vomiting,fever,loss_of_appetite,
Appendicitis,abdominal_pain,nausea,vomiting,fever,loss_of_appetite,
Appendicitis,abdominal_pain,nausea,vomiting,fever,loss_of_appetite,
Appendicitis,abdominal_pain,nausea,vomiting,fever,loss_of_appetite,
Appendicitis,abdominal_pain,nausea,vomiting,fever,loss_of_appetite,
Appendicitis,abdominal_pain,nausea,vomiting,fever,loss_of_appetite,
Appendicitis,abdominal_pain,nausea,vomiting,fever,loss_of_appetite,
Appendicitis,abdominal_pain,nausea,vomiting,fever,loss_of_appetite,
Peptic ulcer disease,stomach_pain,indigestion,nausea,bloating,weight_loss,
Peptic ulcer disease,stomach_pain,indigestion,nausea,bloating,weight_loss,
Peptic ulcer disease,stomach_pain,indigestion,nausea,bloating,weight_loss,
Peptic ulcer disease,stomach_pain,indigestion,nausea,bloating,weight_loss,
Peptic ulcer disease,stomach_pain,indigestion,nausea,bloating,weight_loss,
Peptic ulcer disease,stomach_pain,indigestion,nausea,bloating,weight_loss,
Peptic ulcer disease,stomach_pain,indigestion,nausea,bloating,weight_loss,
Peptic ulcer disease,stomach_pain,indigestion,nausea,bloating,weight_loss,
Peptic ulcer disease,stomach_pain,indigestion,nausea,bloating,weight_loss,
Peptic ulcer disease,stomach_pain,indigestion,nausea,bloating,weight_loss,
Peptic ulcer disease,stomach_pain,indigestion,nausea,bloating,weight_loss,
Peptic ulcer disease,stomach_pain,indigestion,nausea,bloating,weight_loss,
Peptic ulcer disease,stomach_pain,indigestion,nausea,bloating,weight_loss,
Peptic ulcer disease,stomach_pain,indigestion,nausea,bloating,weight_loss,
Peptic ulcer disease,stomach_pain,indigestion,nausea,bloating,weight_loss,
Peptic ulcer disease,stomach_pain,indigestion,nausea,bloating,weight_loss,
Peptic ulcer disease,stomach_pain,indigestion,nausea,bloating,weight_loss,
Peptic ulcer disease,stomach_pain,indigestion,nausea,bloating,weight_loss,
Peptic ulcer disease,stomach_pain,indigestion,nausea,bloating,weight_loss,
Peptic ulcer disease,stomach_pain,indigestion,nausea,bloating,weight_loss,
GERD,heartburn,acid_regurgitation,chest_pain,difficulty_swallowing,chronic_cough,
GERD,heartburn,acid_regurgitation,chest_pain,difficulty_swallowing,chronic_cough,
GERD,heartburn,acid_regurgitation,chest_pain,difficulty_swallowing,chronic_cough,
GERD,heartburn,acid_regurgitation,chest_pain,difficulty_swallowing,chronic_cough,
GERD,heartburn,acid_regurgitation,chest_pain,difficulty_swallowing,chronic_cough,
GERD,heartburn,acid_regurgitation,chest_pain,difficulty_swallowing,chronic_cough,
GERD,heartburn,acid_regurgitation,chest_pain,difficulty_swallowing,chronic_cough,
GERD,heartburn,acid_regurgitation,chest_pain,difficulty_swallowing,chronic_cough,
GERD,heartburn,acid_regurgitation,chest_pain,difficulty_swallowing,chronic_cough,
GERD,heartburn,acid_regurgitation,chest_pain,difficulty_swallowing,chronic_cough,
GERD,heartburn,acid_regurgitation,chest_pain,difficulty_swallowing,chronic_cough,
GERD,heartburn,acid_regurgitation,chest_pain,difficulty_swallowing,chronic_cough,
