Disease,Exercise_1,Exercise_2,Exercise_3,Exercise_4,Intensity,Duration,Frequency,Notes
Chronic_kidney_disease,Walking,Stretching,Resistance_band_training,Chair_exercises,Low,20_to_30_min,4_days_per_week,Monitor_fatigue
Chronic_cholestasis,Walking,Yoga,Light_strength_training,Stretching,Moderate,30_min,4_days_per_week,Monitor_energy
Cirrhosis,Walking,Stretching,Breathing_exercises,Light_resistance,Low,20_min,3_days_per_week,Avoid_strain
Common_Cold,Restorative_yoga,Light_walking,Stretching,None,Low,15_min,3_days_per_week,Only_if_mild
Conjunctivitis,Walking,Light_cardio,Stretching,Yoga,Moderate,30_min,5_days_per_week,Avoid_pool
Coronary_artery_disease,Walking,Cardiac_rehab,Stationary_cycling,Light_strength_training,Moderate,30_min,5_days_per_week,Doctor_supervised
Crohn_disease,Walking,Yoga,Light_strength_training,Stretching,Low_to_Moderate,30_min,4_days_per_week,Avoid_flare_period
Deep_vein_thrombosis,Walking,Ankle_pumps,Leg_elevation_exercises,Stretching,Low,20_min,5_days_per_week,Avoid_immobility
Dengue,None,None,None,None,None,None,None,Rest_until_recovery
Depression,Jogging,Strength_training,Yoga,Cycling,Moderate,30_to_45_min,5_days_per_week,Morning_preferred
Diabetes_mellitus,Brisk_walking,Cycling,Resistance_training,Bodyweight_exercises,Moderate,45_min,5_days_per_week,Monitor_glucose
Eczema,Light_cardio,Yoga,Stretching,Swimming,Moderate,30_min,5_days_per_week,Shower_after
Encephalitis,None,None,None,None,None,None,None,Neurological_rest_required
Endocarditis,None,None,None,None,None,None,None,Strict_rest_required
Endometriosis,Yoga,Walking,Pilates,Light_strength_training,Moderate,30_min,4_days_per_week,Pain_monitoring
Epilepsy,Walking,Yoga,Swimming_with_supervision,Light_strength_training,Moderate,30_min,4_days_per_week,Avoid_heights
Erectile_dysfunction,Cardio_training,Strength_training,Kegel_exercises,Cycling,Moderate,40_min,5_days_per_week,Weight_control_focus
Food_poisoning,None,None,None,None,None,None,None,Hydration_and_rest
GERD,Walking,Light_yoga,Cycling,Strength_training,Moderate,30_min,5_days_per_week,Avoid_post_meal
Gallbladder_infection,None,None,None,None,None,None,None,Acute_rest_required
Gallstones,Walking,Yoga,Light_strength_training,Stretching,Moderate,30_min,5_days_per_week,Weight_management
Gastroenteritis,None,None,None,None,None,None,None,Rest_until_recovery
Glaucoma,Walking,Stationary_cycling,Light_weights,Stretching,Moderate,30_min,5_days_per_week,Avoid_head_down_positions
Gout,Swimming,Cycling,Walking,Stretching,Low_to_Moderate,30_min,4_days_per_week,Avoid_joint_stress
Guillain-Barre_syndrome,Physiotherapy,Passive_range_of_motion,Seated_strengthening,Balance_training,Low,20_min,5_days_per_week,Rehab_supervised
HIV_infection,Walking,Resistance_training,Yoga,Cycling,Moderate,30_to_45_min,5_days_per_week,Energy_monitoring
Heart_attack,Cardiac_rehab_walking,Stationary_cycling,Light_strength_training,Stretching,Low_to_Moderate,30_min,5_days_per_week,Supervised_only
Heart_failure,Slow_walking,Seated_exercises,Light_resistance_training,Breathing_exercises,Low,20_min,4_days_per_week,Stop_if_breathless
Heatstroke,None,None,None,None,None,None,None,Medical_emergency
Hepatitis_A,Walking,Yoga,Stretching,Light_strength_training,Low_to_Moderate,30_min,4_days_per_week,After_recovery
Hepatitis_B,Walking,Cycling,Yoga,Resistance_training,Moderate,30_min,4_days_per_week,Avoid_fatigue
Hepatitis_C,Walking,Yoga,Light_weights,Stretching,Moderate,30_min,4_days_per_week,Monitor_energy
Hepatitis_E,Walking,Stretching,Yoga,None,Low,20_min,3_days_per_week,After_recovery
Hypertension,Walking,Swimming,Light_jogging,Yoga,Moderate,30_min,5_days_per_week,Avoid_heavy_lifting
Hyperthyroidism,Walking,Yoga,Light_strength_training,Cycling,Moderate,30_min,5_days_per_week,Avoid_overheating
Hypoglycemia,Walking,Light_strength_training,Yoga,Stretching,Low_to_Moderate,30_min,4_days_per_week,Monitor_sugar
Hypothermia,None,None,None,None,None,None,None,Warming_priority
Hypothyroidism,Brisk_walking,Strength_training,Yoga,Cycling,Moderate,45_min,5_days_per_week,Weight_control_focus
Impetigo,Walking,Light_cardio,Stretching,Yoga,Moderate,30_min,4_days_per_week,Avoid_skin_contact
Influenza(FLU),Restorative_yoga,Light_walking,Stretching,None,Low,15_min,3_days_per_week,Only_if_mild
Irritable_bowel_syndrome,Walking,Yoga,Light_strength_training,Cycling,Moderate,30_min,5_days_per_week,Stress_management
Kidney_stones,Walking,Light_cardio,Stretching,Yoga,Moderate,30_min,5_days_per_week,Hydration_focus
Laryngitis,Walking,Light_cardio,Stretching,Yoga,Moderate,30_min,4_days_per_week,Avoid_voice_strain
Leukemia,Walking,Light_resistance_training,Yoga,Stretching,Low_to_Moderate,30_min,4_days_per_week,Energy_monitoring
Lymphoma,Walking,Yoga,Light_strength_training,Stretching,Low_to_Moderate,30_min,4_days_per_week,Avoid_fatigue
Malaria,None,None,None,None,None,None,None,Rest_until_recovery
Measles,None,None,None,None,None,None,None,Rest_and_isolation
Meningitis,None,None,None,None,None,None,None,Medical_emergency
Migraine,Yoga,Walking,Stretching,Breathing_exercises,Low_to_Moderate,30_min,4_days_per_week,Avoid_trigger
Multiple_sclerosis,Swimming,Physiotherapy,Light_strength_training,Balance_training,Low_to_Moderate,30_min,4_days_per_week,Avoid_heat
Mumps,None,None,None,None,None,None,None,Rest_until_recovery
Nephrotic_syndrome,Walking,Stretching,Light_resistance_training,Yoga,Low_to_Moderate,30_min,4_days_per_week,Monitor_swelling
Obesity,Brisk_walking,Cycling,Strength_training,Elliptical,Moderate,45_min,5_days_per_week,Calorie_control
Osteoarthritis,Water_aerobics,Stationary_cycling,Leg_strengthening,Stretching,Low_to_Moderate,30_min,5_days_per_week,Low_impact
Osteoporosis,Weight_bearing_walking,Light_weight_training,Stair_climbing,Balance_training,Moderate,30_min,5_days_per_week,Avoid_spinal_flexion
Otitis_media,Walking,Light_cardio,Stretching,Yoga,Moderate,30_min,4_days_per_week,Avoid_pressure_changes
Pancreatitis,None,None,None,None,None,None,None,Rest_required
Parkinson_disease,Walking,Balance_training,Strength_training,Tai_chi,Moderate,30_min,5_days_per_week,Fall_prevention
Peptic_ulcer_disease,Walking,Yoga,Light_strength_training,Stretching,Moderate,30_min,4_days_per_week,Avoid_post_meal
Pericarditis,None,None,None,None,None,None,None,Strict_rest_required
Pneumonia,Breathing_exercises,Light_walking,Stretching,Chair_exercises,Low,20_min,4_days_per_week,After_recovery
Polycystic_ovary_syndrome,HIIT_light,Strength_training,Brisk_walking,Cycling,Moderate,40_min,5_days_per_week,Weight_management
Prostate_enlargement,Walking,Kegel_exercises,Light_strength_training,Cycling,Moderate,30_min,5_days_per_week,Avoid_prolonged_sitting
Psoriasis,Swimming,Yoga,Light_cardio,Strength_training,Moderate,30_min,5_days_per_week,Skin_care_focus
Pulmonary_embolism,Walking_after_clearance,Breathing_exercises,Stretching,None,Low,20_min,4_days_per_week,Medical_clearance_required
Rabies,None,None,None,None,None,None,None,Medical_emergency
Rheumatoid_arthritis,Range_of_motion,Light_strength_training,Walking,Yoga,Low,30_min,4_days_per_week,Avoid_flare
Rubella,None,None,None,None,None,None,None,Rest_until_recovery
Schizophrenia,Walking,Yoga,Strength_training,Cycling,Moderate,30_min,5_days_per_week,Routine_structure
Sepsis,None,None,None,None,None,None,None,Medical_emergency
Sickle_cell_disease,Walking,Light_strength_training,Yoga,Stretching,Low,20_min,4_days_per_week,Avoid_dehydration
Sinusitis,Walking,Light_cardio,Yoga,Stretching,Moderate,30_min,4_days_per_week,Avoid_cold_air
Stroke,Physiotherapy,Balance_training,Light_strength_training,Supported_walking,Low_to_Moderate,30_min,5_days_per_week,Supervised
Systemic_lupus_erythematosus,Walking,Yoga,Swimming,Light_strength_training,Low_to_Moderate,30_min,4_days_per_week,Avoid_sun_exposure
Tetanus,None,None,None,None,None,None,None,Medical_emergency
Thalassemia,Walking,Yoga,Light_strength_training,Stretching,Low_to_Moderate,30_min,4_days_per_week,Monitor_fatigue
Tonsillitis,Light_walking,Stretching,Yoga,None,Low,20_min,3_days_per_week,After_fever
Tuberculosis,Walking,Breathing_exercises,Light_strength_training,Stretching,Low_to_Moderate,30_min,4_days_per_week,After_treatment_phase
Tuberculosis_meningitis,None,None,None,None,None,None,None,Medical_emergency
Typhoid,None,None,None,None,None,None,None,Rest_until_recovery
Ulcerative_colitis,Walking,Yoga,Light_strength_training,Cycling,Low_to_Moderate,30_min,4_days_per_week,Avoid_flare
Urinary_tract_infection,Walking,Light_cardio,Yoga,Stretching,Moderate,30_min,4_days_per_week,Hydration_focus
Varicose_veins,Walking,Leg_elevation_exercises,Calf_raises,Swimming,Moderate,30_min,5_days_per_week,Avoid_prolonged_standing
Vertigo,Balance_training,Walking,Seated_strength_training,Yoga,Low,20_min,4_days_per_week,Avoid_sudden_movements
