Disease,Diet_1,Diet_2,Diet_3,Diet_4
Erectile_dysfunction,Mediterranean diet pattern,Omega-3 fatty acids,Limit saturated fats and processed foods,Adequate fruits and vegetables
Food_poisoning,Hydration with ORS,Soft bland diet,Small frequent meals,Avoid fatty and spicy foods
GERD,Small frequent meals,"Avoid trigger foods (spicy, acidic, fatty)",Avoid lying down after meals,Maintain healthy weight
Gallbladder_infection,Low-fat diet,Small frequent meals,Adequate hydration,Avoid spicy and fried foods
Gallstones,Low-fat diet,High-fiber foods,Adequate hydration,Small frequent meals
Gastroenteritis,Oral rehydration salts (ORS),Bland low-fat foods,Avoid dairy if lactose intolerant,Gradual reintroduction of normal diet
Glaucoma,Antioxidant-rich fruits and vegetables,Omega-3 fatty acids,Limit excessive caffeine,Maintain hydration
Gout,Low-purine diet,Limit red meat and organ meats,Increase water intake,Low-fat dairy products
Guillain-Barre_syndrome,High-calorie high-protein diet,Soft easy-to-swallow foods,Adequate hydration,Small frequent meals
HIV infection,High biological value protein,Energy-dense whole grains,Micronutrient-rich fruits and vegetables,Maintain strict food hygiene
Heart attack,Low saturated and trans fat diet,High fiber intake,Reduce sodium,"Increase fruits , vegetables ,whole grains"
Heart failure,Low sodium diet,Moderate protein intake,Fluid management,Adequate potassium-rich foods
Heatstroke,High fluid intake,Electrolyte replacement,Light meals,Avoid alcohol and caffeine
Hepatitis A,High carbohydrate diet,Moderate protein intake,Low-fat meals,Avoid alcohol
Hepatitis B,High carbohydrate diet,Moderate protein intake,Low-fat meals,Avoid alcohol
Hepatitis C,High carbohydrate diet,Moderate protein intake,Low-fat meals,Avoid alcohol
Hepatitis E,High carbohydrate diet,Moderate protein intake,Low-fat meals,Avoid alcohol
Hypertension,Low sodium diet,DASH diet principles,Increase potassium-rich foods,Limit processed foods
Hyperthyroidism,High calorie high protein diet,Calcium-rich foods,Vitamin D support,Frequent small meals
Hypoglycemia,Frequent balanced meals,Include complex carbs with protein,Avoid high-sugar spikes,Regular meal timing
Hypothermia,Warm nutrient-rich fluids,High-calorie foods,Small frequent meals,Monitor electrolytes
Hypothyroidism,Adequate iodine intake,Selenium-rich foods,High fiber diet,Limit goitrogen excess
Impetigo,Hydrating foods,Protein-rich diet,Vitamin C rich fruits,Avoid sugary foods
Influenza(FLU),Warm fluids and soups,Light balanced meals,Vitamin C rich fruits,Adequate hydration
Irritable bowel syndrome,Low FODMAP foods,Small frequent meals,Avoid trigger foods,Adequate hydration
Kidney stones,Increase fluid intake,Reduce sodium intake,Limit oxalate foods if indicated,Moderate animal protein
Laryngitis,Soft easy-to-swallow foods,Hydrating fluids,Avoid irritants like alcohol and caffeine,Adequate fruits and vegetables
Leukemia,High-protein high-calorie diet,Vitamin and mineral-rich foods,Adequate hydration,Small frequent meals
Lymphoma,High-protein high-calorie diet,Vitamin-rich foods,Adequate hydration,Small frequent meals
Malaria,High-calorie diet,Adequate protein intake,Plenty of fluids,Easily digestible foods
Measles,High-calorie diet,Vitamin A-rich foods,Hydration,Soft easily digestible foods
Meningitis,High-calorie high-protein diet,Soft foods if swallowing difficulty,Adequate hydration,Small frequent meals
Migraine,Regular meals to avoid hypoglycemia,Avoid trigger foods,Limit caffeine,Stay hydrated
Multiple_sclerosis,High-protein diet,Omega-3 fatty acids,Anti-inflammatory foods,Adequate vitamin D
Mumps,Soft foods,Adequate hydration,Vitamin C-rich fruits,Avoid hard chewy foods
Nephrotic_syndrome,Low-sodium diet,Controlled protein intake,Adequate calories,Healthy fats
Obesity,Calorie-controlled balanced diet,High fiber foods,Limit sugar and refined carbs,Adequate protein intake
Osteoarthritis,Weight management diet,Omega-3 fatty acids,Anti-inflammatory foods,Adequate vitamin D
Osteoporosis,Calcium-rich foods,Vitamin D sufficiency,Adequate protein intake,Limit excess caffeine
Otitis media,Soft easily digestible foods,Adequate hydration,Vitamin C-rich fruits,Avoid irritants
Pancreatitis,Low-fat diet,Small frequent meals,Avoid alcohol,Gradual nutrient reintroduction
Parkinson disease,High-fiber foods,Adequate hydration,Soft foods if swallowing difficulty,Vitamin-rich foods
Peptic ulcer disease,Non-irritating soft foods,Avoid spicy acidic foods,Limit caffeine and alcohol,Small frequent meals
Pericarditis,Soft nutrient-rich diet,Adequate protein intake,Adequate fluids,Avoid inflammatory foods
Pneumonia,High protein intake,Vitamin C rich fruits,Adequate fluids,Small frequent meals
Polycystic_ovary_syndrome,Low glycemic index foods,High fiber diet,Omega-3 rich foods,Limit processed foods
Prostate_enlargement,High-fiber foods,Adequate fluids,Limit red meat,Include fruits and vegetables
Psoriasis,Anti-inflammatory diet,Omega-3 fatty acids,Maintain healthy weight,Limit alcohol
Pulmonary_embolism,Maintain adequate hydration,Balanced diet with fruits and vegetables,Limit saturated fats,Maintain healthy weight
Rabies,High-calorie diet,High-protein diet,Adequate fluids,Soft easy-to-swallow foods
Rheumatoid arthritis,Omega-3 rich fish,Anti-inflammatory dietary pattern,Maintain optimal weight,Limit processed foods
Rubella,High-calorie diet,Vitamin-rich foods,Adequate hydration,Soft easily digestible foods
Schizophrenia,Balanced diet,Omega-3 fatty acids,High-fiber foods,Limit refined sugars
Sepsis,High-calorie high-protein diet,Electrolyte-rich fluids,Small frequent meals,Avoid alcohol
Sickle_cell_disease,High-protein high-calorie diet,Hydration,Iron-rich foods (as advised),Folate-rich foods
Sinusitis,Hydrating fluids,Vitamin C-rich foods,Light balanced meals,Avoid allergens if triggered
Stroke,Low sodium intake,High fiber foods,Limit saturated fat,Increase fruits and vegetables
Systemic_lupus_erythematosus,Anti-inflammatory foods,Adequate protein intake,Adequate vitamin D,Limit processed foods
Tetanus,High-calorie diet,High-protein intake,Soft foods if swallowing difficulty,Adequate hydration
Thalassemia,Folate-rich foods,Limit iron overload if advised,Calcium and vitamin D support,Balanced nutrition
Tonsillitis,Soft foods,Warm fluids,Avoid irritant foods,Vitamin C-rich fruits
Tuberculosis,High protein high-calorie diet,Vitamin-rich foods,Frequent meals,Adequate hydration
Tuberculosis meningitis,High-calorie diet,High-protein intake,Soft digestible foods,Electrolyte balance
Typhoid,Soft low-fiber diet,Boiled safe foods only,High-calorie intake,Avoid raw foods
Ulcerative colitis,Low-residue diet during flare,Small frequent meals,Avoid trigger foods,Maintain hydration
Urinary tract infection,Increase water intake,Vitamin C sources,Cranberry if appropriate,Avoid bladder irritants
Varicose veins,High fiber diet,Low sodium intake,Maintain healthy weight,Adequate hydration
Vertigo,Regular small meals,Limit caffeine,Stay hydrated,Avoid alcohol
